Invoice #,Vendor Name,Invoice Amount,Transaction Date,Entry Date,Posting Timestamp,Description,Department
INV-11476,Ünïcode Vendörs Ltd.,24097.29,2024-04-15T00:00:00,15-Apr-2024,2024-04-15 11:29:00,  Purchase order for Ünïcode Vendörs Ltd.  ,Procurement
INV-11142,Stark Materials Co.,8657.00,2024-08-10T00:00:00,2024-08-10,2024-08-10 14:28:00,Purchase order for Stark Materials Co.,Finance
INV-10485,Initech Consulting,41474.11,27/11/2023,02-Dec-2023,2023-11-27 07:04:00,Purchase order for Initech Consulting,Operations
INV-10318,Ünïcode Vendörs Ltd.,"30,792.77","November 19, 2024",20/11/2024,2024-11-19 07:47:00,Purchase order for Ünïcode Vendörs Ltd.,IT
INV-10194,Globex Industrial,35583.48,10/14/2024,15-Oct-2024,2024-10-14 13:57:00,Purchase order for Globex Industrial,Procurement
INV-11383,Umbrella Logistics,"$18,459.34","March 11, 2023",11-Mar-2023,2023-03-11 06:53:00,After-hours entry test,IT
INV-10801,  Pied Piper Compression  ,"$42,062.83",2023-04-16,2023-04-18,2023-04-16 18:25:00,Purchase order for Pied Piper Compression,NaN
INV-11302,Weyland-Yutani Corp,28362.89,12/25/2024,25-Dec-2024,2024-12-25 13:00:00,Holiday posting test,Operations
INV-10397,Initech Consulting,30365.84,21-Jan-2023,2023-01-24,2023-01-21 08:25:00,Purchase order for Initech Consulting,Marketing
INV-10533,Sterling Cooper Ads, 0.01 ,2023-09-06T00:00:00,2023-09-06T00:00:00,2023-09-06 09:00:00,Outlier stress test,Finance
INV-11447,Globex Industrial,"41,336.07",2023-08-10T00:00:00,2023-08-14T00:00:00,2023-08-10 09:00:00,  Purchase order for Globex Industrial  ,Procurement
INV-11036,Hooli Cloud Services,"$40,697.22",23-Jul-2024,2024-07-26T00:00:00,2024-07-23 09:26:00,Purchase order for Hooli Cloud Services,Marketing
INV-10581,Dunder Mifflin Paper,"$36,231.65",03-Aug-2023,2023-08-04T00:00:00,2023-08-03 15:56:00,Purchase order for Dunder Mifflin Paper,--
INV-10235,Wonka Distribution,"38,309.77","April 15, 2023",16/04/2023,2023-04-15 18:39:00,Purchase order for Wonka Distribution,Operations
INV-10237,Umbrella Logistics,25281.68,2024-06-04T00:00:00,"June 04, 2024",2024-06-04 10:00:00,Possible duplicate payment,Finance
INV-11287,Prestige Worldwide,37019.02,09/27/2024,2024-09-28T00:00:00,2024-09-27 17:00:00,Purchase order for Prestige Worldwide,Marketing
INV-10974,Sterling Cooper Ads,28558.07,2024-01-14,01/17/2024,2024-01-14 14:30:00,Purchase order for Sterling Cooper Ads,Operations
INV-10825,Gekko & Co Capital, 5943.12 ,12/19/2023,19/12/2023,2023-12-19 10:00:00,Possible duplicate payment,Finance
INV-10317,Tyrell Corporation,"36,174.34",2023-04-11T00:00:00,2023-04-16,2023-04-11 07:26:00,Purchase order for Tyrell Corporation,--
INV-10702,Fabrikam Supplies,23500.00,12/15/2024,2024-12-15,2024-12-15 14:00:00,Round dollar test,Procurement
INV-10920,Weyland-Yutani Corp,1986662.94,22/10/2024,22-Oct-2024,2024-10-22 09:00:00,Vendor concentration test,None
INV-11005,Genco Pura Olive Oil,19250.50,2024-06-14,2024-06-14T00:00:00,2024-06-14 21:03:00,After-hours entry test,N/A
INV-11496,Cyberdyne Systems,13782.03,04/03/2023,04-Mar-2023,2023-03-04 01:06:00,After-hours entry test,IT
INV-10330,Wayne Enterprises,21638.97,"November 07, 2023","November 07, 2023",2023-11-07 08:23:00,Purchase order for Wayne Enterprises,IT
INV-10737,Cyberdyne Systems,2446.14,20/09/2023,2023-09-25T00:00:00,2023-09-20 15:39:00,Purchase order for Cyberdyne Systems,Finance
INV-10996,Fabrikam Supplies,35032.05,2023-02-01T00:00:00,02/02/2023,2023-02-01 10:40:00,Purchase order for Fabrikam Supplies,Finance
INV-10740,Aperture Science,"33,564.01",11-Sep-2023,2023-09-11T00:00:00,2023-09-11 13:11:00,--,Marketing
INV-10852,Globex Industrial, 37409.25 ,2024-05-11,05/11/2024,2024-05-11 11:00:00,Weekend posting test,Operations
INV-10444,北京贸易公司,"30,445.31",12-Dec-2024,2024-12-13,2024-12-12 16:55:00,Purchase order for 北京贸易公司,Marketing
INV-10151,Pied Piper Compression,"30,842.44",06/26/2023,29/06/2023,2023-06-26 10:08:00,Purchase order for Pied Piper Compression,Finance
